Weibble              has given Kimel a white faintly glowing aura.
Kimel                has given Weibble a white faintly glowing aura.
Weibble              has given Singar a leather backpack, masterfully tanned from lion.
Singar               has given Weibble a food container.
Gnome Guard Vasara   has given Weibble a key.
Gnome Guard Vasara   has given Weibble a key.
Gnome Guard Vasara   has given Weibble a key.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Weibble              has given drow apprentice A magic mushroom.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Althea               has given Weibble a delicious meat pie.
Althea               has given Weibble a muffin, well cooked from blueberries.
Althea               has given Weibble a delicious meat pie.
Althea               has given Weibble a loaf of wheat bread.
Weibble              has given Althea A small scepter.
Althea               has given Weibble A small scepter.
&R BOooOOoo!
Ferrum               has given Maleficus &za &rm&cy&ps&zt&wi&bc&ra&cl &psh&wie&pld &zof &pd&be&zf&rl&we&pc&bt&zi&wo&wn&d.
Ferrum               has given Maleficus &zthe &cs&ra&zs&wh &zof &ps&ba&cg&za&wc&pi&bt&cy&d.
Ferrum               has given Maleficus &zan &ca&pr&bc&zh&ca&pi&bc &gg&rl&gy&gp&rh &ct&pa&bt&zt&co&po&d.
Ferrum               has given Maleficus &wa &cw&pa&rr&zl&co&pc&rks &cl&po&rd&we&cs&pt&ro&cn&ze&d.
Maleficus            has given Ferrum a delicious meat pie.
Maleficus            has given Ferrum a delicious meat pie.
Maleficus            has given Ferrum a yellow banana.
Maleficus            has given Ferrum a loaf of wheat bread.
old human sailor tybias has given Myrlan a first half of a medallion.
Ferrum               has given Maleficus a shuriken, legendary forged from bright-light-green titanium ore.
Maleficus            has given Ferrum a shuriken, legendary forged from bright-light-green titanium ore.
Ferrum               has given Maleficus &wthe &rl&zo&rs&zt &cg&pr&ri&zm&co&pi&rr&ze&d.
Ferrum               has given Maleficus &wt&zh&we &cg&pl&ro&cv&pe&rs &zof &cm&pe&rr&zl&ci&pn&d.
Ferrum               has given Maleficus &za &cp&pa&rl&ze&co&pn &cb&pr&ra&zn&cd&d.
Myrlan               has given elf priestess Shalandra the Medallion of Narcista.
elf priestess Shalandra has given Myrlan the Medallion of Narcista.
Ferrum               has given Maleficus &wa &cmit&zh&wril &cp&pl&ra&zt&ce&d.
Ferrum               has given Maleficus &wt&zh&we &ce&zy&ce &wof &wt&zh&we &ro&pr&za&wc&cl&pe&d.
Ferrum               has given Maleficus &zdr&cag&pon &wh&zi&cd&pe &pg&cr&re&za&wv&ce&ps&d.
Ferrum               has given Maleficus &wa &cl&po&ro&zk &wof &cc&po&rn&zc&ce&pn&rt&zr&ca&pt&ri&zo&wn&d.
Ferrum               has given Maleficus &zthre&wad-b&car&re &cf&wo&zo&rt&pw&zr&ca&wp&rs.
Ferrum               has given Maleficus &zt&wh&ce &ch&poo&zd &wof &cm&za&cn&za&d.
Ferrum               has given Maleficus &wa &rruby &zf&wo&cc&pu&zs&w-&cs&pt&zo&wn&ce&d.
Ferrum               has given Maleficus &wa &rruby &zf&wo&cc&pu&zs&w-&cs&pt&zo&wn&ce&d.
Myrlan               has given old human sailor tybias a barrel of elven ale.
old human sailor tybias has given Myrlan a writ of scrolled paper.
Ferrum               has given Maleficus &za &pdra&zgon&w-&cto&wo&zth &ga&pn&zk&gl&re&wt&d.
Ferrum               has given Maleficus &za &pdra&zgon&w-&cto&wo&zth &ga&pn&zk&gl&re&wt&d.
Ferrum               has given Maleficus &wan &gemerald &zl&co&wc&ck&ze&wt&d.
Ferrum               has given Maleficus &wan &gemerald &zl&co&wc&ck&ze&wt&d.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Vladaar              has invoked a flint stone.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Kimel                has given Weibble a cheese wheel.
Kimel                has given Weibble a loaf of wheat bread.
Kimel                has given Weibble a loaf of wheat bread.
Kimel                has given Weibble a loaf of wheat bread.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Weibble              has given Kimel a pick-axe, properly milled from light-brown fir lumber.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Weibble              has given Kimel a pick-axe, properly milled from light-brown fir lumber.
Weibble              has given Kimel a pick-axe, properly milled from light-brown fir lumber.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Kimel                has given Weibble a red apple.
Kimel                has given Weibble a red apple.
Kimel                has given Weibble a cheese wheel.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
&RLudum dances across the mud.
Althea               has given Kimel A small scepter.
Kyrigan              has given Tarane Talkor man the corpse of a giant crab.
Tarane Talkor man    has given Kyrigan a red potion bottle.
Tarane Talkor man    has given Kyrigan a red potion bottle.
Tarane Talkor man    has given Kyrigan a red potion bottle.
Tarane Talkor man    has given Kyrigan a red potion bottle.
Kynor                has given Leonem Leonem's leather satchel.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Suword portly man    has given polite celestial a Suword's Sweet Shop sack.
Althea               has given Kimel A priceless diamond.
Kimel                has given Weibble a cheese wheel.
Kimel                has given Weibble a yellow banana.
Kimel                has given Weibble a red apple.
Kimel                has given Weibble a cheese wheel.
Weibble              has given Kimel a red apple.
Weibble              has given Kimel a flail, properly milled from pinkish-brown cedar lumber.
Weibble              has given Kimel a flail, properly milled from pinkish-brown cedar lumber.
Kimel                has given Weibble a flail, properly milled from pinkish-brown cedar lumber.
Kimel                has given Weibble a flail, properly milled from pinkish-brown cedar lumber.
Myrlan               has given gunthis spirit cleric a cleric's holy symbol.
Myrlan               has given gunthis spirit cleric a cleric's holy symbol.
gunthis spirit cleric has given Myrlan the helm of defense.
High Priest healer Julias has given Kyndai a note list.
Shop keeper magical Amelia has given Kyndai a red potion bottle.
Shop keeper magical Amelia has given Kyndai a glowing blue potion.
Blade Master teacher blademaster Symon has given Kyndai a curved dagger.
stable master jonah  has given Kyndai a ring with a green gem.
Blade Master Symon BLADEMASTER teacher has given Kyndai Jonahs dagger.
Kyndai               has given stable master Jonah man Jonahs dagger.
Kyndai               has given stable master Jonah man a potion of calming.
Kyndai               has given stable master Jonah man the corpse of a sewer rat.
Myrlan               has given fat dwarf Gorin a writ of scrolled paper.
Myrlan               has given old human sailor tybias gnome dagger.
Myrlan               has given old human sailor tybias gnome dagger.
Myrlan               has given old human sailor tybias gnome dagger.
Myrlan               has given old human sailor tybias gnome dagger.
Myrlan               has given old human sailor tybias gnome dagger.
Myrlan               has given old human sailor tybias gnome dagger.
Myrlan               has given old human sailor tybias the Medallion of Narcista.
